,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
83,Ujjivan Small Finance Bank,Banking ,4.1,7 years old,"Company Culture, Job Security, Skill Development / Learning",
84,Muthoot Finance,NBFC ,3.6,85 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
85,Max Life Insurance,Insurance ,4.2,24 years old,"Skill Development / Learning, Company Culture, Job Security",
86,Aurobindo Pharma,Pharma ,4,38 years old,"Job Security, Salary & Benefits",
87,Tata Projects,Engineering & Construction ,4.3,45 years old,"Job Security, Company Culture, Skill Development / Learning",
88,KPMG India,Management Consulting ,3.6,37 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
89,Shapoorji Pallonji Group,Engineering & Construction ,4.2,159 years old,"Job Security, Skill Development / Learning, Company Culture",
90,Oracle,Software Product ,3.8,47 years old,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
91,Home Credit Finance,Financial Services ,4.1,12 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
92,eClerx,IT Services & Consulting ,3.5,24 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
93,Apollo Hospitals,Healthcare ,4.1,41 years old,"Job Security, Skill Development / Learning, Company Culture",
94,Ashok Leyland,Automobile ,4.1,76 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
95,Siemens,Industrial Automation ,4.2,177 years old,"Job Security, Company Culture, Work Life Balance",
96,Omega Healthcare,Healthcare ,3.8,21 years old,"Promotions / Appraisal, Salary & Benefits",
97,JLL,Real Estate ,4.2,25 years old,"Skill Development / Learning, Job Security, Company Culture",
98,Megha Engineering & Infrastructures,Engineering & Construction ,4,35 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
99,Vivo,Consumer Electronics & Appliances ,4.1,15 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
100,First Source,BPO ,3.8,23 years old,"Promotions / Appraisal, Salary & Benefits",
101,JustDial,Internet ,3.6,28 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
102,Bajaj Allianz Life Insurance,Insurance ,4.1,23 years old,"Salary & Benefits, Work Life Balance, Company Culture",
103,Hero MotoCorp,Automobile ,4.2,40 years old,"Work Life Balance, Company Culture, Job Security",
104,OPPO,Consumer Electronics & Appliances ,4,20 years old,Skill Development / Learning,Promotions / Appraisal
105,Mahindra Finance,NBFC ,4.3,33 years old,"Job Security, Company Culture, Work Life Balance",
106,Standard Chartered,Banking ,3.9,171 years old,Job Security,Promotions / Appraisal
107,DMart,Retail ,4,22 years old,"Job Security, Company Culture",Promotions / Appraisal
108,Coforge,IT Services & Consulting ,3.5,20 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
109,Cyient,IT Services & Consulting ,3.8,33 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
110,BigBasket,Internet ,4,13 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
111,ICICI Lombard General Insurance Company,Insurance ,3.8,23 years old,Job Security,Promotions / Appraisal
112,Indiamart Intermesh,Internet ,3.6,28 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
113,CGI Group,IT Services & Consulting ,4.1,48 years old,"Job Security, Work Life Balance, Company Culture",
114,Virtusa Consulting Services,IT Services & Consulting ,3.8,28 years old,Promotions / Appraisal,
115,Equitas Small Finance Bank,Banking ,4.4,17 years old,"Job Security, Company Culture, Work Life Balance",
116,TVS Motor,Automobile ,4.1,45 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
117,Manappuram Finance,NBFC ,4,75 years old,"Skill Development / Learning, Promotions / Appraisal",
118,GlobalLogic,IT Services & Consulting ,3.7,24 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
119,Ekart Logistics,Logistics ,4.1,15 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
120,UST,IT Services & Consulting ,3.9,23 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
121,SBI Cards & Payment Services,Financial Services ,3.8,26 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
122,Hewlett Packard Enterprise,IT Services & Consulting ,4.3,9 years old,"Company Culture, Work Life Balance, Job Security",
123,Atos Syntel,IT Services & Consulting ,3.6,44 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
124,Bosch Global Software Technologies,IT Services & Consulting ,4.1,27 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
125,IQVIA,Clinical Research ,4.1,42 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
126,Nagarro,IT Services & Consulting ,4.1,28 years old,"Company Culture, Work Life Balance, Salary & Benefits",
127,Cholamandalam Investment & Finance,NBFC ,4.1,46 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
128,SMFG India Credit,NBFC ,4.1,17 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
129,Bosch,Auto Components ,4.3,138 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
130,Reliance Communications,Telecom ,4,22 years old,Skill Development / Learning,Promotions / Appraisal
131,BNY Mellon,Investment Banking / Venture Capital / Private Equity ,4,20 years old,"Company Culture, Work Life Balance, Salary & Benefits",
132,L&T Technology Services,IT Services & Consulting ,3.4,12 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
133,Schneider Electric,Industrial Automation ,4.2,25 years old,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
134,Hyundai Motor,Automobile ,4.4,57 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
135,Amdocs,Software Product ,4,42 years old,"Company Culture, Job Security, Salary & Benefits",
136,Oyo Rooms,Hospitality ,3.4,11 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
137,CBRE,Real Estate ,4.3,118 years old,"Skill Development / Learning, Job Security, Company Culture",
138,Swiggy,Internet ,3.9,10 years old,"Job Security, Promotions / Appraisal",
139,State Bank of India,Banking ,3.9,218 years old,Job Security,"Work Life Balance, Company Culture"
140,JBM Group,Auto Components ,4,41 years old,"Job Security, Skill Development / Learning",
141,BT Group,Telecom ,4.1,178 years old,"Job Security, Work Life Balance, Company Culture",
142,SBI Life Insurance Company,Insurance ,3.9,23 years old,Job Security,Promotions / Appraisal
143,Ecom Express,Logistics ,4.1,12 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
144,Optum,Healthcare ,4,47 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
145,Nagarjuna Construction Company,Engineering & Construction ,4.2,26 years old,"Job Security, Company Culture, Skill Development / Learning",
146,Dell,Consumer Electronics & Appliances ,4.2,40 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
147,Bajaj Auto,Automobile ,3.9,79 years old,Promotions / Appraisal,
148,KEC International,Engineering & Construction ,4.1,79 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
149,Future Group,Retail ,4.3,11 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
150,Piramal Capital Housing Finance,NBFC ,4.2,4 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
151,Aditya Birla Fashion and Retail,Fashion & Textile ,4.2,9 years old,"Job Security, Skill Development / Learning, Company Culture",
152,Muthoot Fincorp,NBFC ,4.1,137 years old,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
153,Royal Enfield,Automobile ,4.3,123 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
154,L&T Finance,NBFC ,4,30 years old,"Salary & Benefits, Skill Development / Learning",
155,Viatris,Pharma ,4.3,4 years old,"Salary & Benefits, Job Security, Work Life Balance",
156,Tata Communications,Telecom ,4.2,38 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
157,Samvardhana Motherson Group,Auto Components ,3.8,38 years old,Job Security,
158,Intas Pharmaceuticals,Pharma ,4.2,47 years old,"Job Security, Salary & Benefits, Work Life Balance",
159,LG Electronics,Consumer Electronics & Appliances ,4.1,66 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
160,Varun Beverages,Beverage ,4.1,29 years old,"Job Security, Salary & Benefits",Promotions / Appraisal
161,John Deere,Industrial Machinery ,4.3,23 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
162,Kogta Financial India Limited,NBFC ,4.8,28 years old,"Company Culture, Work Life Balance, Work Satisfaction",
163,Persistent Systems,IT Services & Consulting ,3.8,34 years old,Company Culture,Promotions / Appraisal
164,Godrej & Boyce Manufacturing,Engineering & Construction ,3.9,127 years old,Job Security,Promotions / Appraisal
165,Randstad,Recruitment ,3.9,32 years old,"Promotions / Appraisal, Job Security",
166,Thermax Limited,Industrial Machinery ,4.2,58 years old,"Job Security, Company Culture, Skill Development / Learning",
167,Hetero Drugs,Pharma ,3.9,31 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
168,Deutsche Bank,Banking ,4.1,154 years old,"Job Security, Work Life Balance, Company Culture",
169,Macleods Pharmaceuticals,Pharma ,3.8,38 years old,Job Security,Promotions / Appraisal
170,Havells,Electrical Equipment ,4.1,41 years old,"Work Life Balance, Salary & Benefits, Company Culture",
171,CARS24,Internet ,3.7,9 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
172,Team Lease,Recruitment ,4,8 years old,Promotions / Appraisal,
173,Sodexo,Facility Management Services ,4.1,16 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
174,Subros,Auto Components ,4,39 years old,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
175,Abbott,Pharma ,4.1,136 years old,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
176,VE Commercial Vehicles,Automobile ,4.1,16 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
177,Indian Oil Corporation,Oil & Gas ,4.5,65 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
178,Whitehat jr,EdTech ,3.5,6 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
179,Ford Motor,Automobile ,4.5,121 years old,"Company Culture, Work Life Balance, Salary & Benefits",
180,Tata Capital,NBFC ,4.2,17 years old,"Job Security, Company Culture, Skill Development / Learning",
181,Automatic Data Processing (ADP),Software Product ,4.1,75 years old,"Job Security, Company Culture, Work Life Balance",
182,Bharat Electronics,Electronics Manufacturing ,4.2,70 years old,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
183,Cummins,Industrial Machinery ,4.4,105 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
184,ITC Infotech,IT Services & Consulting ,3.7,24 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
185,Access Healthcare,IT Services & Consulting ,4,13 years old,"Job Security, Company Culture",
186,R1 RCM,Healthcare ,4,17 years old,"Job Security, Company Culture, Work Life Balance",
187,American Express,Financial Services ,4.3,174 years old,"Company Culture, Work Life Balance, Salary & Benefits",
188,Alembic Pharmaceuticals,Pharma ,4,117 years old,"Salary & Benefits, Work Life Balance",
189,Pidilite Industries,Chemicals ,4.4,65 years old,"Job Security, Company Culture, Work Life Balance",
190,UnitedHealth,Healthcare ,4.1,47 years old,"Job Security, Work Life Balance, Company Culture",
191,Tata AIA Life Insurance,Insurance ,4.1,23 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
192,Hindalco Industries,Metals & Mining ,4.3,66 years old,"Job Security, Skill Development / Learning, Company Culture",
193,Alkem Laboratories,Pharma ,4,51 years old,,
194,Aakash Educational Services,EdTech ,3.6,36 years old,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
195,Publicis Sapient,IT Services & Consulting ,3.6,34 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
196,Atos,IT Services & Consulting ,3.8,27 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
197,DCB Bank,Banking ,3.9,94 years old,"Job Security, Work Life Balance, Company Culture",
198,Utkarsh Small Finance Bank,Banking ,4,15 years old,Job Security,
199,Hindustan Coca Cola Beverages,Beverage ,4.3,27 years old,"Skill Development / Learning, Job Security, Salary & Benefits",
200,Indian Air Force,Defence & Aerospace ,4.7,92 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
201,Vishal Mega Mart,Retail ,3.8,16 years old,Salary & Benefits,"Company Culture, Job Security, Work Satisfaction"
202,Barclays,Banking ,4,334 years old,"Job Security, Company Culture, Work Life Balance",
203,Berger Paints,Chemicals ,3.8,101 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
204,Glenmark Pharmaceuticals,Pharma ,4,47 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
205,Marpu Foundation,Non-Profit ,4.9,8 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
206,Ipca Laboratories,Pharma ,4,75 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
207,Jindal Steel and Power,Iron & Steel ,4,45 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
208,Bank of America,Banking ,4.4,26 years old,"Job Security, Work Life Balance, Company Culture",
209,Maersk,Logistics ,4.3,120 years old,"Company Culture, Work Life Balance, Job Security",
210,DTDC Express,Logistics ,3.8,34 years old,"Promotions / Appraisal, Salary & Benefits",
211,ABB Group,Industrial Automation ,4.1,36 years old,"Job Security, Company Culture, Work Life Balance",
212,24/7 Customer,BPO ,3.6,24 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
213,Aarti Industries,Agro Chemicals ,4.2,49 years old,"Job Security, Work Life Balance, Skill Development / Learning",
214,Honda Motorcycle & Scooter,Automobile ,4.2,23 years old,"Job Security, Company Culture, Work Life Balance",
215,Wipro Infotech,IT Services & Consulting ,4,79 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
216,Carelon Global Solutions,IT Services & Consulting ,4,,"Job Security, Salary & Benefits, Company Culture",
217,Johnson Controls,Industrial Automation ,3.7,139 years old,"Promotions / Appraisal, Work Satisfaction",
218,HDFC Ergo General Insurance,Insurance ,4.1,22 years old,"Job Security, Company Culture, Work Life Balance",
219,NatWest Group,Banking ,4,,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
220,MRF Tyres,Auto Components ,3.8,78 years old,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
221,CMS IT Services,IT Services & Consulting ,3.2,10 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
222,PolicyBazaar,Internet ,3.5,16 years old,"Work Life Balance, Promotions / Appraisal, Company Culture",
223,Cogent E Services,BPO ,3.4,20 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
224,RBL Bank,Banking ,3.8,81 years old,Promotions / Appraisal,
225,Paras Hospital,Healthcare ,4.6,18 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
226,Reliance Nippon Life Insurance,Insurance ,3.9,24 years old,,
227,Reliance Digital,Retail ,4.2,17 years old,"Job Security, Skill Development / Learning, Company Culture",
228,PNB MetLife,Insurance ,3.5,23 years old,"Job Security, Work Satisfaction, Promotions / Appraisal",
229,Jubilant Foods Works,Hospitality ,3.9,29 years old,"Skill Development / Learning, Salary & Benefits",
230,Escorts Kubota Limited,Automobile ,4.1,80 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
231,Wipro Consumer Care & Lighting,FMCG ,3.9,79 years old,Job Security,Promotions / Appraisal
232,GeBBS Healthcare Solutions,BPO ,3.7,19 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
233,Ceat Tyres,Auto Components ,4.1,66 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
234,Kotak Mahindara Life Insurance,Insurance ,3.9,23 years old,Job Security,
235,Dabur,FMCG ,3.8,140 years old,Promotions / Appraisal,
236,Axis Direct,Financial Services ,3.9,13 years old,Promotions / Appraisal,
237,Conduent,BPO ,3.6,7 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
238,JK Cement,Building Material ,4.2,50 years old,"Salary & Benefits, Company Culture, Job Security",
239,InterGlobe Aviation,Aviation ,3.6,19 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
240,Synechron,IT Services & Consulting ,3.7,23 years old,"Salary & Benefits, Skill Development / Learning",Job Security
241,Shoppers Stop,Retail ,4.1,33 years old,"Job Security, Company Culture, Skill Development / Learning",
242,Birlasoft,IT Services & Consulting ,3.8,29 years old,"Promotions / Appraisal, Salary & Benefits",
243,ACC,Building Material ,3.9,88 years old,Promotions / Appraisal,
244,HARMAN,Consumer Electronics & Appliances ,3.8,15 years old,Work Life Balance,Promotions / Appraisal
245,Lenskart,Internet ,3.3,14 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
246,ArcelorMittal Nippon Steel,Iron & Steel ,4.1,,"Job Security, Skill Development / Learning, Work Life Balance",
247,Reliance SMSL,BPO ,4,17 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal
248,GATI-KWE,Logistics ,4,12 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
249,Indiabulls Home Loans,NBFC ,3.9,19 years old,Promotions / Appraisal,
250,KPIT Technologies,Software Product ,3.6,34 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
251,PepsiCo,Food Processing ,4.2,59 years old,"Job Security, Company Culture, Skill Development / Learning",
252,UPL,Agro Chemicals ,4.2,55 years old,"Job Security, Skill Development / Learning, Work Life Balance",
253,S&P Global,Analytics & KPO ,4.2,164 years old,"Company Culture, Work Life Balance, Job Security",
254,Torrent Pharmaceuticals,Pharma ,4,53 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
255,Dilip Buildcon,Engineering & Construction ,4,37 years old,"Skill Development / Learning, Work Satisfaction",
256,RSPL Group,FMCG ,4.2,36 years old,"Job Security, Skill Development / Learning, Work Life Balance",
257,Tech Mahindra Business Services,BPO ,3.5,21 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
