,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
4308,Sakon,Software Product ,3.4,21 years old,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
4309,MAN Energy Solutions,Industrial Machinery ,3.7,14 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
4310,Oswaal Books and Learning Private Limited,Printing & Publishing ,4.3,40 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
4311,Auro Realty Private Limited,Real Estate ,4.4,8 years old,"Job Security, Work Life Balance, Company Culture",
4312,BuildAHome,Engineering & Construction ,4.7,8 years old,"Company Culture, Job Security, Skill Development / Learning",
4313,OnMobile Global,Telecom ,3.8,24 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
4314,Yaantra,Internet ,3.7,11 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
4315,Feedback Energy Distribution Company,Power ,3.3,12 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4316,Bajaj Healthcare,Pharma ,3.5,31 years old,"Company Culture, Promotions / Appraisal, Work Satisfaction",
4317,Radium Creation,Jewellery ,3.2,33 years old,"Job Security, Company Culture, Promotions / Appraisal",
4318,Tops Security,Law Enforcement & Security ,4,54 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
4319,Archirodon,Engineering & Construction ,3.8,65 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
4320,King George's Medical University,Education & Training ,4.2,119 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
4321,Pace Power Systems,Electrical Equipment ,3.4,75 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4322,Century Enka,Fashion & Textile ,4.1,59 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
4323,Hindustan Pencils,FMCG ,4.2,66 years old,"Work Life Balance, Job Security, Company Culture",
4324,Smart Chip,Electronics Manufacturing ,4.2,28 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
4325,Elevate Services,Software Product ,3.3,13 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
4326,SasMos HET Technologies,Electrical Equipment ,3.9,17 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
4327,JNET Technologies,IT Services & Consulting ,4.1,17 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",
4328,Verse Innovation,Internet ,3.6,17 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
4329,Filatex India,Fashion & Textile ,3.8,34 years old,"Skill Development / Learning, Job Security",
4330,Colourtex,Chemicals ,4,57 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4331,Belstar Microfinance,NBFC ,4.1,,"Job Security, Work Satisfaction, Work Life Balance",
4332,Aurigene Pharmaceutical Services,Pharma ,4.2,4 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4333,Walking Tree,IT Services & Consulting ,4.1,16 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
4334,Chhatrapati Shivaji International Airport,Real Estate ,4.2,18 years old,"Promotions / Appraisal, Work Satisfaction",
4335,Velnik India,Beauty & Personal Care ,3.4,7 years old,"Job Security, Company Culture, Work Satisfaction",
4336,Avanse Financial Services,Financial Services ,4,12 years old,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
4337,Century Pulp & Paper,Pulp & Paper ,4,40 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4338,Avis,Internet ,3.9,78 years old,"Company Culture, Job Security",Promotions / Appraisal
4339,Steelman Telecom,501-1k Employees (Global) ,3.9,38 years old,"Promotions / Appraisal, Job Security, Company Culture",
4340,Indo Rama Synthetics (i),Fashion & Textile ,3.6,38 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
4341,Rinder India,Automobile ,3.9,27 years old,Salary & Benefits,
4342,CEC International,Engineering & Construction ,4.5,79 years old,"Company Culture, Salary & Benefits, Work Satisfaction",
4343,Amara Raja Infra,Engineering & Construction ,4,40 years old,"Job Security, Salary & Benefits, Company Culture",
4344,MindCraft Software,IT Services & Consulting ,3.9,22 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
4345,Faasos Food Services,Internet ,4,14 years old,"Salary & Benefits, Company Culture",Work Satisfaction
4346,Intercontinental Exchange,FinTech ,3.6,24 years old,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
4347,Stefanini,IT Services & Consulting ,3.3,22 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
4348,Kraft Heinz Company,Food Processing ,4.3,30 years old,"Company Culture, Salary & Benefits, Work Life Balance",
4349,ADARSH DEVELOPERS,Engineering & Construction ,4.3,36 years old,"Job Security, Work Satisfaction, Work Life Balance",
4350,SNS College of Engineering,Education & Training ,4.9,,"Skill Development / Learning, Promotions / Appraisal, Company Culture",
4351,J. C. Penney,Retail ,4.3,122 years old,"Work Life Balance, Company Culture, Job Security",
4352,Software AG,Software Product ,4.2,55 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4353,Om Innovation Call Services,BPO ,3.5,19 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
4354,Towell Engineering Group,Engineering & Construction ,3.9,23 years old,Job Security,Promotions / Appraisal
4355,Ratnadeep Super Market,Retail ,4.2,37 years old,"Job Security, Work Life Balance, Company Culture",
4356,LetsTransport,Logistics ,3.4,9 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
4357,Bharathi Cement,Building Material ,4.1,25 years old,"Work Life Balance, Company Culture, Job Security",
4358,THE GUARDIANS Real Estate Advisory,Real Estate ,3.7,8 years old,"Work Life Balance, Promotions / Appraisal, Company Culture",
4359,InsuranceDekho,Internet ,3.6,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
4360,MBL Infrastructure Limited,Engineering & Construction ,3.9,29 years old,Work Satisfaction,Job Security
4361,Decimal Point Analytics,Analytics & KPO ,3.1,12 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4362,Exusia,IT Services & Consulting ,4.1,12 years old,"Salary & Benefits, Work Life Balance, Job Security",
4363,Alf Engineering,Auto Components ,4.1,18 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4364,New Allenberry Works,Power ,3.6,53 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
4365,TomTom,IT Services & Consulting ,4.1,33 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4366,Govt. Medical College,Education & Training ,4.4,,"Work Satisfaction, Skill Development / Learning, Work Life Balance",
4367,Webtel Electrosoft,IT Services & Consulting ,4.1,24 years old,"Job Security, Company Culture, Work Life Balance",
4368,IIHT,1k-5k Employees ,4,31 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
4369,Azad Engineering,Engineering & Construction ,3.6,41 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
4370,ICT Service Management Solutions,IT Services & Consulting ,3.7,15 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4371,Sophos Technologies,Software Product ,3.8,39 years old,Work Life Balance,Promotions / Appraisal
4372,Jasper Colin,Analytics & KPO ,4.1,16 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4373,OmniActive Health Technologies,Fitness & Wellness ,3.7,20 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4374,Unity Small Finance Bank,Banking ,3.7,,Promotions / Appraisal,
4375,Ways2excel,EdTech ,4.2,,"Skill Development / Learning, Company Culture, Salary & Benefits",
4376,Premier Energies,Semiconductors ,4.2,,"Job Security, Company Culture, Work Life Balance",
4377,Befree Business Resourceing,Accounting & Auditing ,3.5,18 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4378,Hawkins Cookers,501-1k Employees ,4,65 years old,"Salary & Benefits, Job Security","Work Life Balance, Company Culture, Promotions / Appraisal"
4379,Malladi Drugs & Pharmaceuticals,Pharma ,4.2,44 years old,"Job Security, Work Life Balance, Skill Development / Learning",Salary & Benefits
4380,Malladi Drugs & Pharmaceuticals,Pharma ,4.2,44 years old,"Job Security, Work Life Balance, Skill Development / Learning",Salary & Benefits
4381,ShopX,Internet ,4.4,9 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
4382,Locuz Enterprise Solutions,IT Services & Consulting ,4.2,25 years old,"Job Security, Work Life Balance, Company Culture",
4383,Xylem Water Solutions,Waste Management ,3.9,13 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
4384,SCM Garments,Fashion & Textile ,3.8,35 years old,Promotions / Appraisal,
4385,Travelex,Financial Services ,3.7,48 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
4386,Hawkins Cookers,501-1k Employees ,4,65 years old,"Salary & Benefits, Job Security","Work Life Balance, Company Culture, Promotions / Appraisal"
4387,Indian Steel Corporation,Iron & Steel ,4.2,20 years old,"Job Security, Skill Development / Learning, Work Life Balance",Salary & Benefits
4388,Med Manor Organics,Pharma ,3.5,26 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4389,RG Stone Urology & Laparoscopy Hospital,Healthcare ,4.5,38 years old,"Job Security, Skill Development / Learning, Work Life Balance",
4390,Ahresty India,Auto Components ,3.9,17 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
4391,ECOS (I) MOBILITY & HOSPITALITY,Sports & Recreation ,4.4,28 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4392,Sai Service,Automobile ,4.1,39 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
4393,Apmosys Technologies,IT Services & Consulting ,3.8,12 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
4394,VTP Realty,Real Estate ,3.8,,Promotions / Appraisal,
4395,Coditas Technologies,IT Services & Consulting ,3.1,10 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4396,Accutest Research Laboratories,Clinical Research ,3.8,26 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
4397,Student Life,Non-Profit ,4,6 years old,"Job Security, Skill Development / Learning, Work Life Balance",
4398,Dorset Industries,Building Material ,3.7,29 years old,"Salary & Benefits, Promotions / Appraisal",
4399,Navneet Education,Printing & Publishing ,3.9,65 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4400,Millennium Engineers & Contractors,Engineering & Construction ,4.1,25 years old,"Skill Development / Learning, Salary & Benefits, Job Security",
4401,Al-Futtaim Group,Retail ,4.4,94 years old,"Skill Development / Learning, Job Security, Work Satisfaction",
4402,GlobusSoft,IT Services & Consulting ,4.1,15 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
4403,Eastern Software Systems,IT Services & Consulting ,3.2,34 years old,"Job Security, Company Culture, Work Life Balance",
4404,Mirafra Technologies,Semiconductors ,4.1,20 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4405,Cubastion Consulting,IT Services & Consulting ,3.9,18 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
4406,Gap,Fashion & Textile ,3.7,28 years old,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security"
4407,o9 Solutions,IT Services & Consulting ,3.9,15 years old,"Company Culture, Job Security, Salary & Benefits",Work Life Balance
4408,Office Beacon,BPO ,3.3,23 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4409,Gangar Eyenation,Retail ,4,47 years old,"Skill Development / Learning, Job Security, Company Culture",
4410,Anupam Rasayan India,Chemicals ,3.9,47 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
4411,Kanpur Plastipack,Packaging ,3.9,53 years old,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4412,Inland World Logistics,Logistics ,3.6,42 years old,Promotions / Appraisal,
4413,Diamond Beverages,Beverage ,3.7,29 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
4414,Lokesh Machines,Industrial Machinery ,3.8,41 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4415,Rithwik Projects,Engineering & Construction ,3.9,25 years old,,
4416,Dalmia Bharat Sugar & Industries,Food Processing ,4.2,30 years old,"Salary & Benefits, Job Security, Work Life Balance",
4417,Navneet Education,Printing & Publishing ,3.9,65 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4418,Noida Power Company,Power ,4,31 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4419,Shri Bajrang Power & Ispat,Power ,4.1,22 years old,"Job Security, Work Life Balance, Company Culture",
4420,Student Life,Non-Profit ,4,6 years old,"Job Security, Skill Development / Learning, Work Life Balance",
4421,Dorset Industries,Building Material ,3.7,29 years old,"Salary & Benefits, Promotions / Appraisal",
4422,BPO+,BPO ,4.2,19 years old,"Skill Development / Learning, Company Culture, Job Security",
4423,Dr Mohan's Diabetes Specialities Centre,Healthcare ,4.2,33 years old,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
4424,Shiva Pharmachem,Chemicals ,4,23 years old,"Job Security, Skill Development / Learning, Work Life Balance",
4425,Gracure Pharmaceuticals,Pharma ,3.6,32 years old,"Job Security, Company Culture, Work Life Balance",
4426,Bombay Stock Exchange,Financial Services ,4,149 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4427,Schott Poonawalla,Packaging ,4.1,,Job Security,
4428,Hire Glocal,Recruitment ,4.8,12 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
4429,Catch Foods,Food Processing ,4.2,,"Job Security, Work Life Balance, Company Culture",
4430,Hitachi Astemo Rajasthan Brake Systems,Auto Components ,4.3,,"Company Culture, Work Life Balance, Job Security",
4431,DEEJOS Architects & Constructions,Architecture & Interior Design ,5,16 years old,"Company Culture, Promotions / Appraisal, Skill Development / Learning",
4432,Shriram Properties,Real Estate ,3.8,29 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
4433,Central Tool Room & Training Centre,Industrial Machinery ,4.1,48 years old,"Skill Development / Learning, Company Culture","Job Security, Promotions / Appraisal, Salary & Benefits"
4434,IFB Automotive,Auto Components ,4.1,50 years old,Job Security,"Promotions / Appraisal, Company Culture"
4435,iBall,Consumer Electronics & Appliances ,3.8,23 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4436,Childline India Foundation,Non-Profit ,4.2,28 years old,"Work Satisfaction, Skill Development / Learning, Work Life Balance","Job Security, Promotions / Appraisal"
4437,Barbrik Project Limited (PRA Group),Engineering & Construction ,4.5,16 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
4438,Saudi Electricity Company,Power ,4.4,24 years old,"Work Life Balance, Work Satisfaction, Job Security",
4439,Service Master Clean,Facility Management Services ,4.2,95 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4440,Marine Electricals,Electrical Equipment ,3.8,46 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4441,Essae Digitronics,Electronics Manufacturing ,4,28 years old,"Company Culture, Skill Development / Learning",
4442,Asian Institute of Medical Sciences,Healthcare ,4.1,14 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
4443,Snowman Logistics,Logistics ,4.1,28 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
4444,Dotsquares,IT Services & Consulting ,3.6,22 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4445,Unicorn Infosolutions,Retail ,3.8,22 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
4446,Mayur Uniquoters,Leather ,4.2,32 years old,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
4447,Oriental Aromatics,Chemicals ,3.2,69 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
4448,APOLLO POWER SYSTEMS,Electrical Equipment ,4.1,39 years old,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4449,Interarch Building Product,Engineering & Construction ,4.2,40 years old,"Job Security, Work Life Balance, Company Culture",
4450,Bank Muscat,Banking ,4.1,42 years old,"Job Security, Work Satisfaction, Skill Development / Learning",
4451,Hyva,Urban Transport ,3.5,45 years old,"Promotions / Appraisal, Skill Development / Learning, Company Culture",
4452,Chain-Sys,IT Services & Consulting ,3.8,26 years old,"Job Security, Skill Development / Learning","Salary & Benefits, Company Culture"
4453,Utkarsh India,Industrial Machinery ,3.3,37 years old,"Work Life Balance, Promotions / Appraisal, Company Culture",
4454,Shubhalakshmi Polyesters,Fashion & Textile ,3.7,45 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
4455,Venkateshwar Hospital,Healthcare ,3.7,19 years old,"Company Culture, Promotions / Appraisal, Work Satisfaction",
4456,Xeam Ventures,Recruitment ,4.1,20 years old,"Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal"
4457,Concentrix Catalyst,IT Services & Consulting ,3.7,41 years old,"Promotions / Appraisal, Company Culture, Job Security",
4458,NTT Global Data Centers and Cloud Infrastructure,IT Services & Consulting ,4.1,,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4459,Peerless Biotech,Medical Equipment ,4.5,,"Skill Development / Learning, Work Satisfaction, Company Culture",
4460,Naprod Life Sciences,Pharma ,3.7,18 years old,"Job Security, Promotions / Appraisal, Work Life Balance",
4461,Vidya Mandir Classes,EdTech ,3.9,35 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4462,Mayoor School,Education & Training ,4.7,21 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
4463,Jaiprakash Power Ventures,Power ,3.9,30 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
4464,"Apollo Gleneagles Hospitals, Kolkata",Healthcare ,4.3,21 years old,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
4465,Groww,Financial Services ,4,7 years old,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
4466,Radio Mirchi,Broadcasting ,3.5,,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4467,Valmet,Oil & Gas ,4,86 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
4468,Galgotias University,Education & Training ,3.2,13 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
4469,Leayan Global,Fashion & Textile ,4.3,19 years old,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
4470,Awign Enterprises,Internet ,3.6,8 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4471,Olympus,Healthcare ,4,14 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4472,Jay Ushin,Auto Components ,4,65 years old,Work Life Balance,Promotions / Appraisal
4473,Qualys,IT Services & Consulting ,3.7,25 years old,Salary & Benefits,Company Culture
4474,Unilog Content Solutions ( P),Software Product ,3.4,26 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4475,ICFAI Business School,Education & Training ,3.7,29 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
4476,Alpha Design Technologies,Defence & Aerospace ,3.8,21 years old,"Job Security, Work Life Balance, Work Satisfaction","Salary & Benefits, Promotions / Appraisal"
4477,RMC Readymix,Building Material ,3.8,28 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4478,Pearl Global Industries,Fashion & Textile ,4,37 years old,"Promotions / Appraisal, Work Satisfaction",
4479,ILJIN AUTOMOTIVE,Automobile ,3.8,51 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
4480,ILJIN AUTOMOTIVE,Automobile ,3.8,51 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
4481,Opporture,Content Development ,4.8,,"Company Culture, Skill Development / Learning, Work Life Balance",
4482,Groww,Financial Services ,4,7 years old,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
4483,Radio Mirchi,Broadcasting ,3.5,,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4484,Marelli Motherson Automotive Lighting,11-50 Employees ,3.9,,"Job Security, Skill Development / Learning",
4485,Scope eKnowledge Center,IT Services & Consulting ,3.6,37 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4486,International Travel House,Hospitality ,4.1,43 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4487,Compuage Infocom,Hardware & Networking ,3.9,37 years old,"Company Culture, Work Life Balance, Salary & Benefits",
4488,Li & Fung,Electrical Equipment ,4.1,118 years old,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4489,Rittal,Industrial Machinery ,4,29 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4490,Upwork,Internet ,4.6,9 years old,"Work Life Balance, Work Satisfaction, Company Culture",
4491,Thirumalai Chemicals,Chemicals ,4,51 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
4492,Can Fin Homes,NBFC ,3.4,37 years old,Job Security,"Company Culture, Promotions / Appraisal, Work Satisfaction"
4493,AltezzaSys,IT Services & Consulting ,3.9,10 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4494,Carzonrent,Travel & Tourism ,3.6,24 years old,"Promotions / Appraisal, Job Security",
4495,6D Technologies,Telecom ,3.5,22 years old,Job Security,"Work Life Balance, Work Satisfaction, Company Culture"
4496,TA Digital,IT Services & Consulting ,4.1,24 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4497,SEW Infrastructure,Engineering & Construction ,3.6,64 years old,"Work Satisfaction, Work Life Balance",Salary & Benefits
4498,National Securities Depository,Financial Services ,3.4,28 years old,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
4499,GE Transportation,Industrial Machinery ,4.2,117 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4500,Rittal,Industrial Machinery ,4,29 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4501,Upwork,Internet ,4.6,9 years old,"Work Life Balance, Work Satisfaction, Company Culture",
4502,Thirumalai Chemicals,Chemicals ,4,51 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
4503,CPA Global,IT Services & Consulting ,4,55 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
4504,Carzonrent,Travel & Tourism ,3.6,24 years old,"Promotions / Appraisal, Job Security",
4505,Four Seasons Hotel,Hospitality ,4.2,27 years old,"Company Culture, Skill Development / Learning, Job Security",
4506,Galpha Laboratories,Pharma ,3.9,38 years old,Work Life Balance,Promotions / Appraisal
4507,Hurix Systems,Software Product ,3.6,24 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4508,Covalent Laboratories,Pharma ,3.2,22 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
4509,Suez Water Technologies and Solutions,Waste Management ,4.3,55 years old,"Company Culture, Job Security, Skill Development / Learning",
4510,Protium Finance,Financial Services ,4,5 years old,"Salary & Benefits, Company Culture",
4511,Innoval Digital Solutions,Software Product ,4.6,27 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4512,Exeltis,Pharma ,4.1,21 years old,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
4513,TerraCIS Technologies,IT Services & Consulting ,3.7,31 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4514,HEG,Semiconductors ,4,52 years old,"Work Life Balance, Company Culture, Work Satisfaction",
4515,Azim Premji Foundation,Non-Profit ,4.1,23 years old,"Job Security, Company Culture, Skill Development / Learning",
4516,Varindera Constructions,Engineering & Construction ,4.3,40 years old,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",
4517,Faber India,Consumer Electronics & Appliances ,4.3,69 years old,"Company Culture, Work Life Balance, Job Security",
4518,Indian Railway Catering and Tourism,Urban Transport ,4.1,25 years old,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4519,Kovai Medical Center and Hospital,Healthcare ,4.5,39 years old,"Skill Development / Learning, Job Security, Company Culture",
4520,Light Microfinance,NBFC ,4,30 years old,"Salary & Benefits, Company Culture, Skill Development / Learning",
4521,Kovai Medical Center and Hospital,Healthcare ,4.5,39 years old,"Skill Development / Learning, Job Security, Company Culture",
4522,SCA Health India,BPO ,4.9,11 years old,"Company Culture, Work Life Balance, Job Security",
4523,Vanderlande Industries,Logistics ,4.1,75 years old,"Work Life Balance, Company Culture, Job Security",
4524,ITC ABD,51-200 Employees ,3.8,114 years old,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
4525,Qatargas,Oil & Gas ,4.7,40 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
4526,Roha Dyechem,Food Processing ,3.1,52 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
4527,Jyoti Structures,Power ,3.4,50 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4528,Varindera Constructions,Engineering & Construction ,4.3,40 years old,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",
4529,Simar Infrastructures,Engineering & Construction ,4.1,26 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4530,Exeltis,Pharma ,4.1,21 years old,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
4531,Innoval Digital Solutions,Software Product ,4.6,27 years old,"Job Security, Work Life Balance, Skill Development / Learning",
4532,Nilkamal Furniture,Furniture & Furnishing ,4.1,34 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
4533,Hi Tech Informatics,IT Services & Consulting ,3.7,34 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4534,Eaton Power Quality,Electronics Manufacturing ,4.3,113 years old,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
4535,TerraCIS Technologies,IT Services & Consulting ,3.7,31 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4536,Nandi Toyota,201-500 Employees ,3.9,23 years old,"Job Security, Company Culture, Skill Development / Learning",
4537,VOIZ,BPO ,4.3,2 years old,"Work Life Balance, Work Satisfaction, Company Culture",
4538,Ring Plus Aqua,Auto Components ,3.8,27 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
4539,Indus Valley Partners,IT Services & Consulting ,3.4,24 years old,Job Security,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning"
4540,SEED Infotech,IT Services & Consulting ,3.6,30 years old,"Work Life Balance, Job Security","Skill Development / Learning, Salary & Benefits, Promotions / Appraisal"
4541,E2logy Software Solutions,IT Services & Consulting ,4.4,19 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4542,IT By Design,IT Services & Consulting ,3.3,21 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4543,OPERATIONAL ENERGY GROUP INDIA,Oil & Gas ,3.9,17 years old,Promotions / Appraisal,
4544,Sukhbir Agro Energy,Power ,3.6,25 years old,"Promotions / Appraisal, Company Culture, Job Security",
4545,Ritu Kumar,Fashion & Textile ,3.8,55 years old,Skill Development / Learning,Promotions / Appraisal
4546,Paradise Food Court,Hospitality ,4.1,71 years old,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
4547,Waste Management Holdings,Waste Management ,3.9,56 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4548,WEG,Electronics Manufacturing ,3.7,63 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
4549,Lucy Electric,Electrical Equipment ,4,212 years old,"Promotions / Appraisal, Salary & Benefits",
4550,Harsco,Waste Management ,3.7,171 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
4551,Global Opportunities,EdTech ,4.4,23 years old,"Company Culture, Work Life Balance, Work Satisfaction",
4552,Sunteck Realty,Real Estate ,3.4,43 years old,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
4553,CyberSWIFT Infotech,IT Services & Consulting ,3.8,27 years old,Promotions / Appraisal,
4554,Tatva Chintan Pharma Chem,Chemicals ,4.2,28 years old,,
